" [ -76.525259867994677, 3.40173813565175 ] "
" [ -76.538016922700649, 3.405531496225813 ] "
" [ -76.533396368474158, 3.405506043965781 ] "
" [ -76.529592221419875, 3.402170618168023 ] "
" [ -76.534907436778397, 3.399726669154748 ] "
" [ -76.540047221011136, 3.398539686832347 ] "
" [ -76.544578138663113, 3.397138485792167 ] "
" [ -76.529790716933874, 3.395069956839313 ] "
" [ -76.539318147110279, 3.394012755932611 ] "
" [ -76.528436157326524, 3.389958267299678 ] "
" [ -76.54187122982519, 3.389435149338148 ] "
" [ -76.535648534602473, 3.389590526351684 ] "
" [ -76.518340174326511, 3.384343795219964 ] "
" [ -76.522407705797065, 3.384923471868491 ] "
" [ -76.536074355732183, 3.385842579838649 ] "
" [ -76.530564828775454, 3.383162976525127 ] "
" [ -76.541557638767031, 3.382453948873502 ] "
" [ -76.533098811128056, 3.37469475674181 ] "
" [ -76.539092103543723, 3.376674780491963 ] "
" [ -76.527059489337546, 3.372415919235187 ] "
" [ -76.519616161724514, 3.371337434211568 ] "
